信号日,代码,名称,竞价涨幅%,竞价额(万),竞价倍率,RSI6,昨连板,昨炸板,昨首封时间,开盘首价溢价%,T+1%(竞价基准),T+2%(竞价基准),T+3%(竞价基准),T+1%(可成交基准),T+2%(可成交基准),T+3%(可成交基准)
2026-07-17,000676,智度股份,6.91,5213,2.54,89.36,2,0,094645,-0.75,-4.66,4.06,4.06,-3.94,4.85,4.85
2026-07-17,600162,香江控股,4.32,3556.73,1.54,78.89,2,2,093057,-0.69,-5.17,-10,-12.07,-4.51,-9.37,-11.46
2026-07-17,002173,创新医疗,3.27,4249.64,7.01,61.23,1,3,102527,0.83,3.89,-3.66,-5.33,3.03,-4.46,-6.11
2026-07-17,600664,哈药股份,2.43,17339.3,2.37,100,5,2,092502,0.79,4.94,15.42,18.18,4.12,14.51,17.25
2026-07-22,603629,利通电子,5.97,13776.9,2.11,51.1,1,0,105908,0.02,5.86,-4.73,0.93,5.84,-4.74,0.91
2026-07-22,002371,北方华创,5.83,76979.72,6.36,53.31,1,1,103639,0,-6.09,-3.93,-2.28,-6.09,-3.93,-2.28
2026-07-22,603118,共进股份,7.03,11699.6,1.73,61.85,1,0,102524,0,3.88,-1.31,1.38,3.88,-1.31,1.38
2026-07-22,002138,顺络电子,4.97,5495.87,5.18,32.08,1,0,110133,0.96,-1.21,-4.23,2.77,-2.14,-5.14,1.8
2026-07-22,002432,九安医疗,4.46,15113.27,0.91,81.29,1,4,094709,0.59,-11.8,-18.88,-13.1,-12.32,-19.36,-13.6
2026-07-22,000938,紫光股份,3.93,60268.35,1.63,69.18,1,3,112933,-0.21,-1.49,-3.81,-3.76,-1.28,-3.6,-3.56
2026-07-22,600988,赤峰黄金,3.78,2901.78,2.53,58.71,1,0,143422,0.43,5.46,-0.9,3.59,5,-1.33,3.14
